anio,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2023,b_pasivo_total,Total pasivos,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos $ 82.335 $ 71.498,82335,82335.0,True,ACEPTADO,ALTA
2024,b_pasivo_total,Total pasivos,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Total, de pasivos $ 60.103 $ 82.335",60103,60103.0,True,ACEPTADO,ALTA
2025,b_pasivo_total,Total pasivos,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Total, de pasivos $ 60.295 $ 60.103",60295,60295.0,True,ACEPTADO,ALTA
2020,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2021,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2022,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2023,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2024,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2025,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Capital suscrito y pagado 71.960 71.960,71960,71960.0,True,ACEPTADO,ALTA
2020,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Prima en colocación de acciones 24 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2021,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Prima en colocación de acciones 24 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2022,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Prima en colocación de acciones 23 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2023,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Prima en colocación de acciones 23 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2024,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Prima en colocación de acciones 24 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2025,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Prima en colocación de acciones 23 37.303 37.303,37303,37303.0,True,ACEPTADO,ALTA
2020,b_reservas,Reservas,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Reservas 25 105.106 104.130,104130,104130.0,True,ACEPTADO,ALTA
2021,b_reservas,Reservas,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Reservas 25 105.106 104.130,105106,105106.0,True,ACEPTADO,ALTA
