variable_madre_id,cuenta_puc,concepto_src,indicador(es)_que_la_usan,fuente_esperada,tipo_variable,formula_calculo,tipo_dato,valores_posibles,regla_diseno,requerimiento_id
utilidad_operacional,Utilidad_operacional,i_resultado_operacional,,estados,primaria,,cuantitativo,,,REQ-UTILIDAD_OPERACIONAL
otros_ingresos_egresos,pendiente,i_otros_ingresos_egresos,24 | 25 | 27 | 28 | 34 | 35 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 58 | 59,estados,primaria,,cuantitativo,,,REQ-OTROS_INGRESOS_EGRESOS
subtotal_calculado,pendiente,i_resultado_antes_impuestos,29,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-I_RESULTADO_ANTES_IMPUESTOS
impuestos,pendiente,i_gasto_impuesto_corriente,34 | 35 | 50 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
impuestos_diferidos,pendiente,i_gasto_impuesto_diferido,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS_DIFERIDOS
utilidad_neta,Utilidad_neta,i_resultado_del_ejercicio,30 | 31 | 32 | 60 | 62 | 65,estados,primaria,,cuantitativo,,,REQ-UTILIDAD_NETA
ori_acumulado,pendiente,i_ori_titulos,,estados,primaria,,cuantitativo,,,REQ-ORI_ACUMULADO
ori_acumulado,pendiente,i_ori_actuarial,,estados,primaria,,cuantitativo,,,REQ-ORI_ACUMULADO
ori_acumulado,pendiente,i_ori_inmuebles,,estados,primaria,,cuantitativo,,,REQ-ORI_ACUMULADO
impuestos_diferidos,pendiente,i_impuesto_diferido_ori,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS_DIFERIDOS
subtotal_calculado,pendiente,i_ori_total,,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-I_ORI_TOTAL
subtotal_calculado,pendiente,i_comprehensivo_total,,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-I_COMPREHENSIVO_TOTAL
utilidad_neta,Utilidad_neta,c_utilidad_del_ejercicio,,estados,primaria,,cuantitativo,,,REQ-UTILIDAD_NETA
depreciaciones,pendiente,c_depreciacion,,estados,primaria,,cuantitativo,,,REQ-DEPRECIACIONES
arrendamientos,pendiente,c_depreciacion_derecho_uso,,estados,primaria,,cuantitativo,,,REQ-ARRENDAMIENTOS
provisiones,pendiente,c_provisiones,,estados,primaria,,cuantitativo,,,REQ-PROVISIONES
deterioro_cuentas_por_cobrar,pendiente,c_deterioro_cxc,,estados,primaria,,cuantitativo,,,REQ-DETERIORO_CUENTAS_POR_COBRAR
provisiones,pendiente,c_reintegro_provisiones,,estados,primaria,,cuantitativo,,,REQ-PROVISIONES
inversiones,pendiente,c_valoracion_inversiones,,estados,primaria,,cuantitativo,,,REQ-INVERSIONES
amortizaciones,pendiente,c_amortizacion_intangibles,,estados,primaria,,cuantitativo,,,REQ-AMORTIZACIONES
amortizaciones,pendiente,c_amortizacion_otros,,estados,primaria,,cuantitativo,,,REQ-AMORTIZACIONES
gastos_financieros,pendiente,c_intereses_arrendamiento,,estados,primaria,,cuantitativo,,,REQ-GASTOS_FINANCIEROS
impuestos,pendiente,c_gasto_impuesto_corriente,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
impuestos_diferidos,pendiente,c_gasto_impuesto_diferido,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS_DIFERIDOS
bajas_activos,pendiente,c_baja_ppye,,estados,primaria,,cuantitativo,,,REQ-BAJAS_ACTIVOS
activos_fijos,pendiente,c_baja_depreciacion_ppye,,estados,primaria,,cuantitativo,,,REQ-ACTIVOS_FIJOS
bajas_activos,pendiente,c_baja_intangibles,,estados,primaria,,cuantitativo,,,REQ-BAJAS_ACTIVOS
intangibles,pendiente,c_baja_amortizacion_intangibles,,estados,primaria,,cuantitativo,,,REQ-INTANGIBLES
cuentas_por_cobrar,pendiente,c_cuentas_por_cobrar,,estados,primaria,,cuantitativo,,,REQ-CUENTAS_POR_COBRAR
otros_activos,pendiente,c_otros_activos,,estados,primaria,,cuantitativo,,,REQ-OTROS_ACTIVOS
cuentas_por_pagar,pendiente,c_cuentas_por_pagar,,estados,primaria,,cuantitativo,,,REQ-CUENTAS_POR_PAGAR
impuestos,pendiente,c_impuestos_neto,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
obligaciones_laborales,pendiente,c_beneficios_empleados,,estados,primaria,,cuantitativo,,,REQ-OBLIGACIONES_LABORALES
provisiones,pendiente,c_pasivos_provisiones,,estados,primaria,,cuantitativo,,,REQ-PROVISIONES
gastos_financieros,pendiente,c_intereses_pagados,40 | 41 | 52 | 53,estados,primaria,,cuantitativo,,,REQ-GASTOS_FINANCIEROS
impuestos,pendiente,c_impuestos_pagados,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
subtotal_calculado,pendiente,c_flujo_operacion,62,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-C_FLUJO_OPERACION
